"Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Elimination A","Elimination B","Elimination C","Elimination D","Category","Tags"
"Under national tax regulations, a 12.0% Value Added Tax (VAT) is assessed on taxable commercial goods. If a government procurement division receives a VAT-inclusive official commercial invoice for exactly ₱168,000.00, what is the net VAT-exclusive base price and the exact VAT component amount?","Net Base: ₱150,000.00; VAT: ₱18,000.00","Net Base: ₱147,840.00; VAT: ₱20,160.00","Net Base: ₱152,000.00; VAT: ₱16,000.00","Net Base: ₱148,000.00; VAT: ₱20,000.00","A","Step-by-Step Solution:
1. Identify the mathematical relationship for VAT-inclusive pricing:
   - $\text{VAT-Inclusive Price} = \text{Base Price} \times (1.0 + 0.12) = 1.12 \times \text{Base Price}$.
2. Solve for the net VAT-exclusive Base Price:
   - $\text{Base Price} = \frac{\text{VAT-Inclusive Price}}{1.12} = \frac{₱168,000.00}{1.12}$.
   - $\text{Base Price} = \frac{16,800,000.00}{112} = ₱150,000.00$.
3. Compute the exact 12.0% VAT component:
   - $\text{VAT Amount} = \text{VAT-Inclusive Price} - \text{Base Price} = ₱168,000.00 - ₱150,000.00 = ₱18,000.00$.
   - (Verification: $₱150,000.00 \times 0.12 = ₱18,000.00$).

Common Trap: Calculating 12% directly from the gross ₱168,000.00 ($168,000 \times 0.12 = ₱20,160.00 \implies \text{Base} = ₱147,840.00$, Option B), which incorrectly treats gross amount as the taxable base.
Exam Tip: Base Price is ALWAYS $\frac{\text{Gross VAT-Inclusive}}{1.12} = ₱150,000.00$. VAT $= ₱18,000.00$.","Correct. Survives elimination because ₱168,000 / 1.12 = ₱150,000.00 base, and 12% of ₱150,000 is ₱18,000.00.","Eliminated because ₱147,840.00 calculates 12% of gross instead of dividing by 1.12.","Eliminated because ₱152,000.00 is an overestimate of base.","Eliminated because ₱148,000.00 is a calculation slip.","Numerical Ability","Numerical Ability | Word Problems | Commercial Mathematics | Taxation | Very Difficult | Batch 049"
"An individual taxpayer has an annual taxable net compensation income of ₱950,000.00. Based on the statutory progressive tax brackets: (1) First ₱250,000: 0%; (2) ₱250,001 to ₱400,000: 15% of excess over ₱250,000; (3) ₱400,001 to ₱800,000: ₱22,500 + 20% of excess over ₱400,000; (4) ₱800,001 to ₱2,000,000: ₱102,500 + 25% of excess over ₱800,000. What is the taxpayer's total annual income tax liability?","₱140,000.00","₱142,500.00","₱137,500.00","₱145,000.00","A","Step-by-Step Solution:
1. Locate the income bracket for ₱950,000.00:
   - Falls in Bracket 4: Over ₱800,000.00 to ₱2,000,000.00.
2. Apply the bracket formula:
   - $\text{Tax} = ₱102,500.00 + 25.0\% \text{ of the excess over } ₱800,000.00$.
3. Compute the excess income in Bracket 4:
   - $\text{Excess} = ₱950,000.00 - ₱800,000.00 = ₱150,000.00$.
4. Calculate tax on excess:
   - $\text{Tax on Excess} = ₱150,000.00 \times 0.25 = ₱37,500.00$.
5. Sum total annual tax liability:
   - $\text{Total Tax} = ₱102,500.00 + ₱37,500.00 = ₱140,000.00$.
6. (Effective tax rate $= \frac{₱140,000.00}{₱950,000.00} \approx 14.74\%$).

Common Trap: Applying 25% flat across the entire ₱950,000 ($950\text{k} \times 0.25 = ₱237,500.00$) or adding bracket limits incorrectly.
Exam Tip: Progressive tax combines base cumulative tax ($₱102,500$) + marginal rate on excess ($0.25 \times 150,000 = ₱37,500$) $= ₱140,000.00$.","Correct. Survives elimination because base tax of ₱102,500 + 25% of (₱950,000 - ₱800,000 = ₱150,000) = ₱102,500 + ₱37,500 = ₱140,000.00.","Eliminated because ₱142,500.00 assumes excess of ₱160,000.","Eliminated because ₱137,500.00 is an underestimate.","Eliminated because ₱145,000.00 is an overestimate.","Numerical Ability","Numerical Ability | Word Problems | Commercial Mathematics | Taxation | Very Difficult | Batch 049"
"A residential real estate property has an appraised fair market value of ₱3,500,000.00. The local government unit applies a 20.0% statutory assessment level for residential land, a basic Real Property Tax (RPT) rate of 1.5%, and an additional 1.0% Special Education Fund (SEF) levy on the assessed value. What is the total annual real property tax payable by the property owner?","₱17,500.00","₱87,500.00","₱14,000.00","₱21,000.00","A","Step-by-Step Solution:
1. Calculate the Assessed Value ($AV$) of the property:
   - $AV = \text{Fair Market Value} \times \text{Assessment Level}$.
   - $AV = ₱3,500,000.00 \times 0.20 = ₱700,000.00$.
2. Determine total combined tax rate on Assessed Value:
   - $\text{Total Rate} = \text{Basic RPT Rate} + \text{SEF Rate} = 1.5\% + 1.0\% = 2.5\% = 0.025$.
3. Compute total annual tax payable:
   - $\text{Total Property Tax} = ₱700,000.00 \times 0.025 = ₱17,500.00$.
4. (Verification of components: Basic RPT $= 700\text{k} \times 0.015 = ₱10,500$; SEF $= 700\text{k} \times 0.010 = ₱7,000 \implies 10,500 + 7,000 = ₱17,500.00$).

Common Trap: Applying the 2.5% tax directly to the ₱3,500,000 market value without multiplying by the 20% assessment level ($₱87,500.00$, Option B).
Exam Tip: Taxes are assessed on ASSESSED VALUE ($700\text{k}$), not Fair Market Value ($3.5\text{M}$). $700\text{k} \times 0.025 = ₱17,500.00$.","Correct. Survives elimination because assessed value is ₱700,000.00 (20% of ₱3.5M), and 2.5% combined tax on assessed value is ₱17,500.00.","Eliminated because ₱87,500.00 applies tax directly to market value without assessment level.","Eliminated because ₱14,000.00 omits the SEF levy.","Eliminated because ₱21,000.00 assumes 3.0% tax rate.","Numerical Ability","Numerical Ability | Word Problems | Commercial Mathematics | Taxation | Very Difficult | Batch 049"
"An individual sells an urban residential lot classified as a capital asset for a gross selling price of ₱4,800,000.00. The BIR zonal value is ₱4,500,000.00, and the provincial assessor's market value is ₱4,200,000.00. If Capital Gains Tax (CGT) is assessed at 6.0% of the highest of the three statutory values, what is the exact Capital Gains Tax liability?","₱288,000.00","₱270,000.00","₱252,000.00","₱300,000.00","A","Step-by-Step Solution:
1. Identify the three statutory property valuations:
   - Gross Selling Price $= ₱4,800,000.00$.
   - Zonal Value $= ₱4,500,000.00$.
   - Assessor's Fair Market Value $= ₱4,200,000.00$.
2. Determine the highest tax base:
   - $\text{Tax Base} = \max(₱4,800,000.00, ₱4,500,000.00, ₱4,200,000.00) = ₱4,800,000.00$.
3. Compute 6.0% Capital Gains Tax:
   - $\text{CGT} = ₱4,800,000.00 \times 0.06 = ₱288,000.00$.

Common Trap: Computing tax on zonal value ($₱270,000.00$, Option B) or assessor's value ($₱252,000.00$, Option C), ignoring the higher gross selling price.
Exam Tip: NIRC Sec. 24(D): CGT applies to whichever is HIGHEST among Selling Price, Zonal Value, and Assessor Value ($₱4.8\text{M} \times 0.06 = ₱288,000.00$).","Correct. Survives elimination because the highest valuation is the selling price of ₱4,800,000.00, yielding 6% CGT of ₱288,000.00.","Eliminated because ₱270,000.00 applies 6% to the lower zonal value.","Eliminated because ₱252,000.00 applies 6% to the lower assessor value.","Eliminated because ₱300,000.00 is an overestimate.","Numerical Ability","Numerical Ability | Word Problems | Commercial Mathematics | Taxation | Very Difficult | Batch 049"
"A small corporate enterprise recorded gross revenues of ₱4,200,000.00 with allowable business operating expenses of ₱2,600,000.00. The corporate income tax rate is 20.0% of net taxable income. If the company made quarterly estimated income tax prepayments totaling ₱250,000.00 during the year, what is the remaining tax payable (or refundable) on its final annual return?","₱70,000.00 payable","₱80,000.00 payable","₱70,000.00 refundable","₱90,000.00 payable","A","Step-by-Step Solution:
1. Compute Net Taxable Operating Income:
   - $\text{Net Taxable Income} = \text{Gross Revenues} - \text{Allowable Expenses}$.
   - $\text{Net Taxable Income} = ₱4,200,000.00 - ₱2,600,000.00 = ₱1,600,000.00$.
2. Calculate total annual corporate income tax due at 20.0%:
   - $\text{Total Corporate Tax} = ₱1,600,000.00 \times 0.20 = ₱320,000.00$.
3. Deduct cumulative quarterly tax prepayments already remitted:
   - $\text{Remaining Tax Payable} = \text{Total Corporate Tax} - \text{Prepayments}$.
   - $\text{Remaining Tax Payable} = ₱320,000.00 - ₱250,000.00 = ₱70,000.00\text{ payable}$.

Common Trap: Applying 20% to gross revenues ($4.2\text{M} \times 0.20 = 840\text{k} - 250\text{k} = ₱590,000.00$), ignoring allowable business deductions.
Exam Tip: $\text{Tax Payable} = (\text{Revenues} - \text{Expenses}) \times 20\% - \text{Prepayments} = 1.6\text{M}(0.20) - 250\text{k} = ₱70,000.00$.","Correct. Survives elimination because net taxable income is ₱1,600,000, total tax is ₱320,000, and deducting ₱250,000 prepayments leaves ₱70,000.00 payable.","Eliminated because ₱80,000.00 is an overestimate.","Eliminated because tax is payable, not refundable (tax due ₱320k > prepayments ₱250k).","Eliminated because ₱90,000.00 is a calculation slip.","Numerical Ability","Numerical Ability | Word Problems | Commercial Mathematics | Taxation | Very Difficult | Batch 049"
"An imported shipment of specialized laboratory equipment has a customs dutiable value of ₱500,000.00. Customs import duty is assessed at 10.0% of the dutiable value. In addition, a 12.0% Value Added Tax (VAT) is levied on the total landed cost (dutiable value + customs duty + ₱20,000.00 customs brokerage/handling fees). What is the total combined customs duty and import VAT payable on the shipment?","₱118,400.00","₱110,000.00","₱120,400.00","₱116,000.00","A","Step-by-Step Solution:
1. Compute the Customs Import Duty:
   - $\text{Customs Duty} = ₱500,000.00 \times 0.10 = ₱50,000.00$.
2. Determine Total Landed Cost (tax base for import VAT):
   - $\text{Landed Cost} = \text{Dutiable Value} + \text{Customs Duty} + \text{Handling/Brokerage Fees}$.
   - $\text{Landed Cost} = ₱500,000.00 + ₱50,000.00 + ₱20,000.00 = ₱570,000.00$.
3. Compute 12.0% Import VAT on Landed Cost:
   - $\text{Import VAT} = ₱570,000.00 \times 0.12 = ₱68,400.00$.
4. Calculate total combined duty and tax payable:
   - $\text{Total Payable} = \text{Customs Duty} + \text{Import VAT} = ₱50,000.00 + ₱68,400.00 = ₱118,400.00$.

Common Trap: Omitting the handling fees from the VAT base ($550\text{k} \times 0.12 = ₱66,000 \implies ₱116,000.00$, Option D) or calculating VAT on dutiable value alone.
Exam Tip: Import VAT applies to FULL LANDED COST ($570\text{k} \times 0.12 = 68.4\text{k}$). Total $= 50\text{k} + 68.4\text{k} = ₱118,400.00$.","Correct. Survives elimination because customs duty is ₱50,000, landed cost is ₱570,000, import VAT is ₱68,400, giving total payable ₱118,400.00.","Eliminated because ₱110,000.00 assumes flat rates without landed cost cascading.","Eliminated because ₱120,400.00 is an overestimate.","Eliminated because ₱116,000.00 omits brokerage fees from the VAT base.","Numerical Ability","Numerical Ability | Word Problems | Commercial Mathematics | Taxation | Very Difficult | Batch 049"
"A self-employed professional with annual gross professional receipts of ₱1,800,000.00 elects the 8.0% preferential gross income tax regime under the TRAIN Law (which allows a statutory ₱250,000.00 threshold exemption for purely self-employed professionals in lieu of graduated income tax and percentage taxes). What is his total annual income tax liability?","₱124,000.00","₱144,000.00","₱120,000.00","₱128,000.00","A","Step-by-Step Solution:
1. Determine taxable gross receipts base:
   - Under the 8% gross income tax option for purely self-employed professionals, the first ₱250,000.00 is exempt:
   - $\text{Taxable Base} = \text{Gross Receipts} - ₱250,000.00$.
   - $\text{Taxable Base} = ₱1,800,000.00 - ₱250,000.00 = ₱1,550,000.00$.
2. Compute 8.0% income tax:
   - $\text{Income Tax} = ₱1,550,000.00 \times 0.08 = ₱124,000.00$.
3. (Verification: $1,550,000 \times \frac{8}{100} = 15,500 \times 8 = ₱124,000.00$).

Common Trap: Applying 8% directly to gross receipts without deducting the ₱250,000 exemption ($1,800,000 \times 0.08 = ₱144,000.00$, Option B).
Exam Tip: For purely self-employed individuals, always deduct the ₱250,000 threshold before applying 8%: $(1.8\text{M} - 250\text{k}) \times 0.08 = ₱124,000.00$.","Correct. Survives elimination because taxable base is ₱1,800,000 - ₱250,000 = ₱1,550,000, yielding 8% tax of ₱124,000.00.","Eliminated because ₱144,000.00 applies 8% to gross receipts without the ₱250k statutory deduction.","Eliminated because ₱120,000.00 assumes a ₱300k deduction.","Eliminated because ₱128,000.00 is a calculation slip.","Numerical Ability","Numerical Ability | Word Problems | Commercial Mathematics | Taxation | Very Difficult | Batch 049"
"A commercial lessee pays a monthly office rent of ₱44,800.00 inclusive of 12.0% VAT. The lessee is designated as a corporate withholding agent and must deduct a 5.0% creditable withholding tax (CWT) on the VAT-exclusive rental base before payment to the lessor. What is the net cash amount paid to the lessor, and what is the withholding tax remitted to the BIR?","Net Cash: ₱42,800.00; Withholding Tax: ₱2,000.00","Net Cash: ₱42,560.00; Withholding Tax: ₱2,240.00","Net Cash: ₱40,000.00; Withholding Tax: ₱4,800.00","Net Cash: ₱43,000.00; Withholding Tax: ₱1,800.00","A","Step-by-Step Solution:
1. Extract VAT-exclusive base rent from the gross VAT-inclusive rent:
   - $\text{Base Rent} = \frac{₱44,800.00}{1.12} = ₱40,000.00$.
2. Calculate the 12.0% VAT component:
   - $\text{Output VAT} = ₱40,000.00 \times 0.12 = ₱4,800.00$.
3. Compute 5.0% Creditable Withholding Tax (CWT) assessed on the VAT-exclusive base:
   - $\text{Withholding Tax} = ₱40,000.00 \times 0.05 = ₱2,000.00$.
4. Calculate net cash disbursed to lessor:
   - $\text{Net Cash} = \text{Gross Rent (with VAT)} - \text{Withholding Tax} = ₱44,800.00 - ₱2,000.00 = ₱42,800.00$.
   - (Or: $\text{Base Rent} (₱40,000) - \text{CWT} (₱2,000) + \text{VAT} (₱4,800) = ₱42,800.00$).

Common Trap: Computing withholding tax on the gross VAT-inclusive amount ($44,800 \times 0.05 = ₱2,240.00 \implies \text{Net Cash} = ₱42,560.00$, Option B), which violates withholding rules.
Exam Tip: Withholding taxes ALWAYS apply to the VAT-exclusive base: $40\text{k} \times 0.05 = ₱2,000.00 \implies \text{Net} = 44,800 - 2,000 = ₱42,800.00$.","Correct. Survives elimination because VAT-exclusive base is ₱40,000.00, CWT is ₱2,000.00 (5% of ₱40k), leaving net cash remittance of ₱42,800.00.","Eliminated because ₱42,560.00 calculates withholding tax on the VAT-inclusive amount.","Eliminated because ₱40,000.00 deducts the entire VAT amount.","Eliminated because ₱43,000.00 assumes a 4% withholding rate.","Numerical Ability","Numerical Ability | Word Problems | Commercial Mathematics | Taxation | Very Difficult | Batch 049"
"Under the statutory Documentary Stamp Tax (DST) schedule, a deed of absolute sale of real property is taxed at ₱15.00 for every ₱1,000.00 (or fractional part thereof) of the transaction consideration. What is the exact Documentary Stamp Tax due on a deed of sale with a consideration of ₱3,250,500.00?","₱48,765.00","₱48,750.00","₱48,757.50","₱49,000.00","A","Step-by-Step Solution:
1. Understand the fractional rounding rule for Documentary Stamp Tax:
   - The tax is ₱15.00 per ₱1,000.00 or *fractional part thereof*.
   - This means the number of taxable units is rounded UP to the next whole integer: $\lceil \frac{\text{Consideration}}{1,000} \rceil$.
2. Compute the taxable units for ₱3,250,500.00:
   - $\frac{₱3,250,500.00}{1,000.00} = 3,250.5\text{ units}$.
   - Rounded up to nearest integer: $3,251\text{ units}$.
3. Calculate total Documentary Stamp Tax:
   - $\text{DST} = 3,251 \times ₱15.00 = ₱48,765.00$.
4. (Verification: $3,250 \times 15 = ₱48,750.00$; the fractional ₱500 pays a full ₱15.00 bracket $\implies 48,750 + 15 = ₱48,765.00$).

Common Trap: Using exact proportional decimals without rounding up fractions ($3,250.5 \times 15 = ₱48,757.50$, Option C) or rounding down to ₱3,250,000 ($₱48,750.00$, Option B).
Exam Tip: Statutory tax rule: Any fraction of ₱1,000 incurs the full ₱15.00 bracket fee $\implies 3,251 \times 15 = ₱48,765.00$.","Correct. Survives elimination because ₱3,250,500 contains 3,250 full thousands plus a fraction, totaling 3,251 taxable units * ₱15.00 = ₱48,765.00.","Eliminated because ₱48,750.00 rounds down to 3,250 units, ignoring the fractional ₱500.","Eliminated because ₱48,757.50 fails to apply the statutory full-bracket fractional rounding rule.","Eliminated because ₱49,000.00 is an overestimate.","Numerical Ability","Numerical Ability | Word Problems | Commercial Mathematics | Taxation | Very Difficult | Batch 049"
"A VAT-registered merchant recorded quarterly gross sales of ₱800,000.00 (subject to 12.0% Output VAT) and allowable business input purchases of ₱500,000.00 (subject to 12.0% Input VAT), with both amounts stated VAT-exclusive. What is the net VAT payable to the tax authority for the quarter?","₱36,000.00","₱96,000.00","₱60,000.00","₱40,000.00","A","Step-by-Step Solution:
1. Compute Output VAT on taxable sales (12.0% of $₱800,000.00$):
   - $\text{Output VAT} = ₱800,000.00 \times 0.12 = ₱96,000.00$.
2. Compute Input VAT on creditable business purchases (12.0% of $₱500,000.00$):
   - $\text{Input VAT} = ₱500,000.00 \times 0.12 = ₱60,000.00$.
3. Compute Net VAT Payable ($\text{Output VAT} - \text{Input VAT}$):
   - $\text{Net VAT Payable} = ₱96,000.00 - ₱60,000.00 = ₱36,000.00$.
4. (Direct Value-Added Method: $\text{Value Added} = ₱800,000 - ₱500,000 = ₱300,000 \implies \text{VAT} = ₱300,000 \times 0.12 = ₱36,000.00$).

Common Trap: Answering the Output VAT ($₱96,000.00$, Option B) without crediting Input VAT, or answering Input VAT ($₱60,000.00$, Option C).
Exam Tip: Net VAT Payable is simply $\text{Output VAT} - \text{Input VAT} = 96\text{k} - 60\text{k} = ₱36,000.00$.","Correct. Survives elimination because Output VAT (₱96,000) minus Input VAT (₱60,000) = ₱36,000.00 net VAT payable.","Eliminated because ₱96,000.00 is Output VAT without input credit.","Eliminated because ₱60,000.00 is Input VAT alone.","Eliminated because ₱40,000.00 is a calculation slip.","Numerical Ability","Numerical Ability | Word Problems | Commercial Mathematics | Taxation | Very Difficult | Batch 049"
